C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_19_604.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_19_604.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_19_604.jpg, 0, 0, 0, 7.761561E-05
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_19_706.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_19_706.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_19_706.jpg, 0, 0, 0, 8.395427E-05
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_19_807.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_19_807.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_19_807.jpg, 0, 0, 0, 8.191536E-05
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_19_910.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_19_910.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_19_910.jpg, 0, 0, 0, 7.783413E-05
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_011.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_011.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_011.jpg, 0, 0, 0, 7.869481E-05
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_116.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_116.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_116.jpg, 0, 0, 0, 7.797289E-05
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_216.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_216.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_216.jpg, 0, 0, 0, 7.879836E-05
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_320.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_320.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_320.jpg, 0, 0, 0, 7.814111E-05
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_428.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_428.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_428.jpg, -0.1541835, 0.10602, 0, 0.02126912
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_531.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_531.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_531.jpg, -0.4471535, 0.3989901, 0, 0.3592012
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_639.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_639.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_639.jpg, -0.5571518, 0.7668996, 0, 1.209555
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_738.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_738.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_738.jpg, -0.2567552, 1, 0, 2.310003
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_839.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_839.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_839.jpg, -0.2212757, 1, 0, 3.487927
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_20_942.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_20_942.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_20_942.jpg, -0.5291474, 1, 0, 4.632521
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_21_053.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_21_053.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_21_053.jpg, -0.3998561, 1, 0, 5.769394
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_21_156.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_21_156.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_21_156.jpg, -0.08775383, 1, 0, 7.149774
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_21_264.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_21_264.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_21_264.jpg, 0, 1, 0, 8.278175
C:\Users\HP\Desktop\Data\IMG\center_2020_07_30_17_51_21_369.jpg, C:\Users\HP\Desktop\Data\IMG\left_2020_07_30_17_51_21_369.jpg, C:\Users\HP\Desktop\Data\IMG\right_2020_07_30_17_51_21_369.jpg, -0.1445133, 1, 0, 9.398443
